Chr	gene	all	syn	lof	lof_SNV	mis	Mis_MetaSVM	Mis_CADD15	Mis_CADD20	Mis_CADD30	Mis_MetaSVM_or_CADD15	Mis_MetaSVM_or_CADD20	SpliceSite	StopGain	StopLoss	Mis_mpc2	Mis_mpc2_and_MetaSVM	Mis_mpc2_or_MetaSVM
10	AGAP6	3.50E-05	9.93E-06	2.78E-06	1.49E-06	2.23E-05	1.67E-07	1.27E-05	4.91E-06	3.21E-08	1.27E-05	4.92E-06	4.45E-07	1.03E-06	2.17E-08	0	0	1.67E-07
10	AGAP9	6.40E-05	1.72E-05	4.96E-06	2.72E-06	4.18E-05	0	2.09E-05	6.74E-06	2.47E-08	2.09E-05	6.74E-06	8.88E-07	1.79E-06	4.24E-08	0	0	0
10	AIFM2	2.25E-05	7.01E-06	1.45E-06	8.56E-07	1.40E-05	1.15E-06	1.21E-05	1.04E-05	2.49E-07	1.21E-05	1.04E-05	3.62E-07	4.73E-07	2.07E-08	0	0	1.15E-06
10	AKR1C1	1.46E-05	3.50E-06	2.29E-06	1.23E-06	8.82E-06	4.02E-07	5.62E-06	3.85E-06	1.99E-08	5.62E-06	3.85E-06	3.70E-07	8.48E-07	1.40E-08	2.36E-06	3.16E-08	2.73E-06
10	AKR1C2	1.50E-05	3.72E-06	2.31E-06	1.26E-06	8.95E-06	4.91E-07	5.69E-06	4.00E-06	2.99E-08	5.70E-06	4.00E-06	3.88E-07	8.43E-07	2.78E-08	2.94E-06	8.42E-09	3.43E-06
10	AKR1C3	1.64E-05	3.87E-06	2.53E-06	1.35E-06	9.96E-06	2.74E-07	6.15E-06	4.32E-06	1.42E-08	6.15E-06	4.34E-06	3.71E-07	9.46E-07	3.42E-08	0	0	2.74E-07
10	AKR1C4	1.35E-05	3.16E-06	1.83E-06	1.03E-06	8.52E-06	5.20E-07	5.72E-06	4.50E-06	2.95E-08	5.72E-06	4.52E-06	3.68E-07	6.42E-07	1.92E-08	0	0	5.20E-07
10	AKR1E2	1.53E-05	4.18E-06	1.73E-06	1.00E-06	9.41E-06	8.13E-07	6.39E-06	4.72E-06	8.96E-08	6.39E-06	4.85E-06	4.10E-07	5.77E-07	1.84E-08	0	0	8.13E-07
10	ALDH18A1	3.96E-05	9.99E-06	4.13E-06	2.33E-06	2.55E-05	1.19E-05	2.46E-05	2.30E-05	4.18E-06	2.46E-05	2.31E-05	8.70E-07	1.44E-06	1.83E-08	2.75E-06	1.71E-06	1.29E-05
10	ALOX5	4.54E-05	1.36E-05	4.04E-06	2.29E-06	2.77E-05	1.30E-05	2.61E-05	2.35E-05	3.68E-06	2.61E-05	2.36E-05	8.72E-07	1.40E-06	1.84E-08	0	0	1.30E-05
10	ANAPC16	4.95E-06	1.33E-06	4.48E-07	2.73E-07	3.17E-06	0	3.17E-06	3.14E-06	4.65E-07	3.17E-06	3.14E-06	1.12E-07	1.40E-07	2.05E-08	0	0	0
10	ANK3	0.000193302	5.39E-05	1.59E-05	8.27E-06	0.000123473	1.78E-05	0.00011415	9.92E-05	1.06E-05	0.000114169	9.93E-05	2.14E-06	6.11E-06	1.56E-08	1.04E-06	5.42E-07	1.83E-05
10	ANKRD1	1.56E-05	4.31E-06	1.76E-06	9.92E-07	9.54E-06	1.08E-06	8.81E-06	7.85E-06	1.44E-06	8.81E-06	7.85E-06	3.60E-07	6.13E-07	1.84E-08	0	0	1.08E-06
10	ANKRD16	2.20E-05	6.46E-06	2.15E-06	1.15E-06	1.34E-05	2.16E-06	9.83E-06	7.44E-06	3.03E-07	9.83E-06	7.44E-06	3.18E-07	7.97E-07	3.73E-08	0	0	2.16E-06
10	ANKRD2	2.64E-05	7.83E-06	2.32E-06	1.31E-06	1.63E-05	1.34E-06	1.21E-05	9.87E-06	2.73E-07	1.21E-05	9.91E-06	4.92E-07	8.02E-07	1.92E-08	0	0	1.34E-06
10	ANKRD22	8.76E-06	2.20E-06	1.16E-06	6.51E-07	5.39E-06	6.72E-07	4.30E-06	3.49E-06	7.84E-08	4.30E-06	3.50E-06	2.29E-07	4.07E-07	1.50E-08	0	0	6.72E-07
10	ANKRD26	6.43E-05	1.65E-05	7.76E-06	4.28E-06	4.00E-05	1.30E-06	1.86E-05	1.15E-05	2.66E-07	1.86E-05	1.15E-05	1.48E-06	2.78E-06	1.83E-08	0	0	1.30E-06
10	ANKRD30A	5.11E-05	1.33E-05	5.65E-06	3.37E-06	3.22E-05	3.74E-07	8.02E-06	2.91E-06	4.72E-08	8.03E-06	2.98E-06	1.52E-06	1.82E-06	2.55E-08	0	0	3.74E-07
10	ANTXRL	2.87E-05	7.98E-06	2.31E-06	1.50E-06	1.84E-05	0	5.70E-06	1.94E-06	2.26E-08	5.70E-06	1.94E-06	8.34E-07	6.49E-07	1.35E-08	0	0	0
10	ANXA11	2.85E-05	8.16E-06	2.66E-06	1.61E-06	1.77E-05	4.07E-07	1.67E-05	1.48E-05	2.74E-06	1.67E-05	1.48E-05	7.57E-07	8.37E-07	1.83E-08	0	0	4.07E-07
10	ANXA7	2.18E-05	4.78E-06	3.11E-06	1.71E-06	1.39E-05	1.03E-09	1.32E-05	1.16E-05	1.17E-06	1.32E-05	1.16E-05	5.66E-07	1.12E-06	2.08E-08	0	0	1.03E-09
10	ANXA8	3.65E-05	1.10E-05	2.81E-06	1.83E-06	2.27E-05	0	1.87E-05	1.55E-05	4.86E-07	1.87E-05	1.55E-05	1.01E-06	7.81E-07	3.68E-08	0	0	0
10	ANXA8L1	1.83E-05	5.53E-06	1.39E-06	9.09E-07	1.14E-05	1.06E-09	9.24E-06	6.87E-06	1.87E-07	9.24E-06	6.87E-06	5.06E-07	3.84E-07	1.84E-08	5.53E-06	1.06E-09	5.53E-06
10	AP3M1	1.77E-05	4.34E-06	1.66E-06	9.41E-07	1.17E-05	2.71E-06	1.16E-05	1.08E-05	1.48E-06	1.16E-05	1.08E-05	3.36E-07	5.79E-07	2.56E-08	0	0	2.71E-06
10	APBB1IP	3.62E-05	1.18E-05	2.44E-06	1.41E-06	2.19E-05	1.98E-06	1.44E-05	1.18E-05	1.47E-06	1.44E-05	1.18E-05	5.68E-07	8.22E-07	1.97E-08	0	0	1.98E-06
10	ARHGAP12	3.50E-05	8.25E-06	4.41E-06	2.41E-06	2.23E-05	2.57E-06	2.08E-05	1.85E-05	2.93E-06	2.08E-05	1.85E-05	7.85E-07	1.60E-06	2.07E-08	0	0	2.57E-06
10	ARHGAP19	2.26E-05	5.48E-06	2.80E-06	1.55E-06	1.43E-05	4.80E-07	1.23E-05	1.07E-05	7.36E-07	1.23E-05	1.07E-05	5.23E-07	1.01E-06	1.83E-08	0	0	4.80E-07
10	ARHGAP21	8.81E-05	2.28E-05	1.00E-05	5.14E-06	5.53E-05	3.78E-06	4.31E-05	3.68E-05	3.13E-06	4.31E-05	3.68E-05	1.20E-06	3.92E-06	1.33E-08	5.00E-06	6.35E-07	8.14E-06
10	ARHGAP22	5.04E-05	1.59E-05	2.82E-06	1.55E-06	3.17E-05	2.40E-06	2.31E-05	1.85E-05	9.84E-07	2.31E-05	1.85E-05	4.95E-07	1.02E-06	3.42E-08	0	0	2.40E-06
10	ARID5B	5.57E-05	1.68E-05	3.83E-06	1.95E-06	3.51E-05	2.50E-06	3.09E-05	2.64E-05	3.60E-06	3.09E-05	2.64E-05	4.36E-07	1.50E-06	2.07E-08	4.82E-06	1.24E-06	6.08E-06
10	ARL3	7.77E-06	2.04E-06	9.56E-07	5.61E-07	4.77E-06	2.57E-06	4.72E-06	4.40E-06	5.26E-07	4.72E-06	4.40E-06	2.25E-07	3.16E-07	2.01E-08	3.84E-08	3.84E-08	2.57E-06
10	ARL5B	7.38E-06	1.61E-06	1.21E-06	6.76E-07	4.56E-06	2.21E-06	4.51E-06	4.21E-06	4.24E-07	4.51E-06	4.21E-06	2.27E-07	4.27E-07	2.08E-08	1.82E-07	1.79E-07	2.22E-06
10	ARMC3	3.72E-05	9.64E-06	4.32E-06	2.45E-06	2.32E-05	3.02E-06	1.74E-05	1.40E-05	6.45E-07	1.74E-05	1.40E-05	9.25E-07	1.49E-06	3.32E-08	0	0	3.02E-06
10	ARMC4	4.71E-05	1.18E-05	4.17E-06	2.36E-06	3.11E-05	8.63E-06	2.19E-05	1.86E-05	1.73E-06	2.19E-05	1.88E-05	8.72E-07	1.46E-06	2.83E-08	1.26E-06	1.90E-07	9.71E-06
10	ARMS2	4.48E-06	1.23E-06	4.46E-07	2.38E-07	2.80E-06	0	5.79E-07	2.19E-08	0	5.79E-07	2.19E-08	4.80E-08	1.67E-07	2.28E-08	0	0	0
10	AS3MT	1.58E-05	4.20E-06	1.35E-06	8.61E-07	1.03E-05	2.66E-07	8.27E-06	6.76E-06	2.08E-07	8.27E-06	6.76E-06	4.53E-07	3.94E-07	1.39E-08	0	0	2.66E-07
10	ASAH2	3.30E-05	8.24E-06	3.92E-06	2.30E-06	2.09E-05	3.61E-06	1.70E-05	1.42E-05	8.17E-07	1.70E-05	1.42E-05	9.77E-07	1.30E-06	2.02E-08	1.42E-05	2.93E-06	1.48E-05
10	ASAH2B	8.24E-06	2.03E-06	9.05E-07	5.28E-07	5.31E-06	4.44E-07	3.64E-06	2.75E-06	2.03E-07	3.64E-06	2.75E-06	2.06E-07	3.02E-07	2.01E-08	0	0	4.44E-07
10	ASB13	2.09E-05	7.44E-06	1.10E-06	6.25E-07	1.23E-05	2.22E-06	1.15E-05	9.59E-06	2.77E-07	1.15E-05	9.59E-06	2.24E-07	3.83E-07	1.83E-08	0	0	2.22E-06
10	ASCC1	1.87E-05	4.68E-06	2.57E-06	1.46E-06	1.15E-05	1.35E-06	9.22E-06	7.20E-06	9.69E-07	9.22E-06	7.28E-06	5.27E-07	8.89E-07	3.97E-08	0	0	1.35E-06
10	ATAD1	1.54E-05	3.47E-06	1.91E-06	1.11E-06	1.00E-05	9.00E-06	9.78E-06	9.21E-06	1.12E-06	9.78E-06	9.42E-06	4.51E-07	6.42E-07	1.29E-08	1.36E-07	1.36E-07	9.00E-06
10	ATE1	2.88E-05	7.94E-06	3.69E-06	1.97E-06	1.72E-05	3.10E-06	1.52E-05	1.20E-05	1.25E-06	1.52E-05	1.20E-05	5.73E-07	1.38E-06	2.12E-08	0	0	3.10E-06
10	ATOH7	1.53E-05	5.22E-06	6.54E-07	3.02E-07	9.41E-06	6.88E-06	7.13E-06	6.02E-06	5.52E-07	8.30E-06	7.69E-06	0	2.82E-07	1.97E-08	2.63E-06	2.48E-06	7.03E-06
10	ATP5C1	1.35E-05	3.56E-06	1.72E-06	1.01E-06	8.26E-06	2.56E-06	7.41E-06	6.41E-06	8.11E-07	7.41E-06	6.41E-06	4.03E-07	5.74E-07	2.82E-08	0	0	2.56E-06
10	ATRNL1	5.90E-05	1.50E-05	7.29E-06	4.08E-06	3.67E-05	3.70E-06	3.50E-05	3.16E-05	2.41E-06	3.50E-05	3.16E-05	1.49E-06	2.57E-06	1.84E-08	0	0	3.70E-06
10	AVPI1	8.15E-06	2.13E-06	5.15E-07	2.77E-07	5.51E-06	0	4.74E-06	3.71E-06	9.27E-08	4.74E-06	3.71E-06	6.49E-08	1.90E-07	2.22E-08	0	0	0
10	BAG3	3.23E-05	9.68E-06	2.52E-06	1.21E-06	2.01E-05	5.97E-06	1.68E-05	1.40E-05	1.70E-06	1.68E-05	1.40E-05	1.39E-07	1.05E-06	2.08E-08	0	0	5.97E-06
10	BAMBI	1.29E-05	3.58E-06	1.32E-06	6.53E-07	8.03E-06	1.46E-06	7.73E-06	7.12E-06	1.03E-06	7.73E-06	7.14E-06	9.17E-08	5.33E-07	2.84E-08	0	0	1.46E-06
10	BBIP1	5.92E-06	1.13E-06	7.05E-07	4.17E-07	4.09E-06	1.27E-07	1.66E-06	6.20E-07	2.41E-08	1.75E-06	7.30E-07	1.57E-07	2.30E-07	3.03E-08	0	0	1.27E-07
10	BCCIP	1.80E-05	5.37E-06	1.55E-06	8.91E-07	1.11E-05	4.29E-07	7.19E-06	4.84E-06	2.69E-07	7.19E-06	4.84E-06	3.09E-07	5.26E-07	5.49E-08	0	0	4.29E-07
10	BEND7	2.21E-05	5.98E-06	2.38E-06	1.29E-06	1.38E-05	4.15E-08	9.19E-06	7.95E-06	9.86E-07	9.19E-06	7.95E-06	3.85E-07	8.67E-07	4.05E-08	0	0	4.15E-08
10	BICC1	4.49E-05	1.21E-05	4.81E-06	2.65E-06	2.81E-05	1.26E-06	2.74E-05	2.50E-05	2.93E-06	2.74E-05	2.50E-05	9.00E-07	1.73E-06	2.08E-08	0	0	1.26E-06
10	BLNK	2.23E-05	6.10E-06	3.16E-06	1.81E-06	1.31E-05	1.40E-06	1.09E-05	9.22E-06	6.66E-07	1.09E-05	9.22E-06	7.13E-07	1.08E-06	2.01E-08	0	0	1.40E-06
10	BLOC1S2	7.92E-06	2.24E-06	1.01E-06	6.12E-07	4.67E-06	1.03E-07	4.03E-06	3.48E-06	5.69E-07	4.03E-06	3.48E-06	2.66E-07	3.21E-07	2.56E-08	0	0	1.03E-07
10	BMI1	1.27E-05	2.91E-06	1.78E-06	1.01E-06	8.04E-06	1.25E-06	7.98E-06	7.64E-06	8.82E-07	7.98E-06	7.64E-06	3.78E-07	6.14E-07	2.05E-08	0	0	1.25E-06
10	BMPR1A	2.54E-05	5.76E-06	3.06E-06	1.62E-06	1.66E-05	9.98E-06	1.61E-05	1.47E-05	2.37E-06	1.61E-05	1.49E-05	4.47E-07	1.15E-06	2.18E-08	4.22E-06	3.26E-06	1.09E-05
10	BMS1	5.70E-05	1.42E-05	6.43E-06	3.41E-06	3.63E-05	7.36E-07	3.08E-05	2.73E-05	1.59E-06	3.08E-05	2.73E-05	9.72E-07	2.42E-06	1.93E-08	8.16E-07	0	1.55E-06
10	BNIP3	1.76E-05	5.72E-06	1.02E-06	5.89E-07	1.08E-05	1.82E-06	5.92E-06	5.06E-06	5.19E-07	5.92E-06	5.06E-06	2.25E-07	3.43E-07	2.07E-08	0	0	1.82E-06
10	BORCS7	6.35E-06	1.89E-06	6.95E-07	4.36E-07	3.76E-06	0	3.62E-06	3.34E-06	4.28E-07	3.62E-06	3.34E-06	2.01E-07	2.08E-07	2.76E-08	0	0	0
10	BTAF1	7.49E-05	1.80E-05	9.62E-06	5.21E-06	4.72E-05	2.35E-05	4.65E-05	4.21E-05	7.54E-06	4.65E-05	4.22E-05	1.66E-06	3.53E-06	1.56E-08	5.07E-06	4.94E-06	2.37E-05
10	BTBD16	2.48E-05	7.15E-06	2.30E-06	1.39E-06	1.54E-05	0	9.32E-06	7.02E-06	1.72E-07	9.32E-06	7.02E-06	6.48E-07	7.24E-07	1.99E-08	0	0	0
10	BTRC	2.86E-05	6.64E-06	4.80E-06	2.48E-06	1.72E-05	2.46E-06	1.71E-05	1.63E-05	2.03E-06	1.71E-05	1.63E-05	6.15E-07	1.85E-06	2.02E-08	4.20E-07	2.39E-07	2.64E-06
10	BUB3	1.79E-05	4.92E-06	2.02E-06	1.15E-06	1.09E-05	4.32E-06	1.09E-05	1.05E-05	2.03E-06	1.09E-05	1.05E-05	4.30E-07	6.92E-07	3.37E-08	1.92E-06	1.76E-06	4.48E-06
10	C10orf10	1.08E-05	2.77E-06	8.83E-07	4.15E-07	7.19E-06	1.81E-08	3.03E-06	2.22E-06	1.98E-09	3.03E-06	2.22E-06	2.02E-08	3.74E-07	2.12E-08	0	0	1.81E-08
10	C10orf105	8.78E-06	2.56E-06	3.75E-07	1.86E-07	5.84E-06	0	3.31E-06	2.56E-06	4.18E-09	3.31E-06	2.56E-06	2.02E-08	1.51E-07	1.50E-08	0	0	0
10	C10orf107	8.27E-06	2.13E-06	1.16E-06	6.60E-07	4.98E-06	2.04E-07	3.44E-06	2.78E-06	9.40E-08	3.44E-06	2.78E-06	2.44E-07	4.02E-07	1.35E-08	0	0	2.04E-07
10	C10orf111	7.37E-06	2.21E-06	4.43E-07	2.23E-07	4.71E-06	0	1.04E-06	3.10E-07	0	1.04E-06	3.10E-07	2.02E-08	1.76E-07	2.70E-08	0	0	0
10	C10orf113	6.72E-06	1.51E-06	4.73E-07	2.54E-07	4.74E-06	0	1.83E-06	8.75E-07	0	1.83E-06	8.75E-07	4.59E-08	1.75E-07	3.34E-08	0	0	0
10	C10orf120	1.56E-05	3.47E-06	2.00E-06	9.44E-07	1.01E-05	8.30E-08	3.49E-06	2.16E-06	8.10E-10	3.49E-06	2.16E-06	8.94E-08	8.42E-07	1.33E-08	0	0	8.30E-08
10	C10orf126	7.90E-06	2.27E-06	8.22E-07	4.54E-07	4.81E-06	0	8.42E-07	1.65E-07	0	8.42E-07	1.65E-07	1.38E-07	2.94E-07	2.24E-08	0	0	0
10	C10orf128	9.03E-06	2.61E-06	1.00E-06	6.61E-07	5.42E-06	0	1.58E-06	9.66E-07	6.42E-08	1.58E-06	9.66E-07	2.92E-07	2.73E-07	9.53E-08	0	0	0
10	C10orf142	7.70E-06	2.12E-06	4.02E-07	2.39E-07	5.18E-06	0	0	0	0	0	0	9.15E-08	1.31E-07	1.69E-08	0	0	0
10	C10orf25	6.68E-06	1.72E-06	7.79E-07	3.82E-07	4.18E-06	0	1.41E-06	3.09E-07	0	1.41E-06	3.09E-07	4.40E-08	3.17E-07	2.12E-08	0	0	0
10	C10orf35	6.42E-06	1.56E-06	7.22E-07	3.95E-07	4.14E-06	0	3.74E-06	3.05E-06	9.03E-08	3.74E-06	3.05E-06	1.11E-07	2.62E-07	2.22E-08	0	0	0
10	C10orf53	7.86E-06	2.35E-06	5.51E-07	3.30E-07	4.96E-06	1.72E-07	2.66E-06	1.88E-06	1.30E-07	2.66E-06	1.88E-06	1.12E-07	1.77E-07	4.00E-08	0	0	1.72E-07
10	C10orf55	6.98E-06	1.64E-06	5.15E-07	2.76E-07	4.83E-06	6.52E-08	1.85E-06	7.67E-07	3.00E-08	1.85E-06	7.67E-07	6.68E-08	1.91E-07	1.84E-08	0	0	6.52E-08
10	C10orf62	1.02E-05	2.90E-06	5.30E-07	2.48E-07	6.81E-06	0	3.81E-06	2.80E-06	0	3.81E-06	2.80E-06	0	2.26E-07	2.13E-08	0	0	0
10	C10orf67	1.10E-05	2.62E-06	1.32E-06	7.47E-07	7.08E-06	0	2.65E-06	1.63E-06	1.37E-08	2.65E-06	1.63E-06	2.49E-07	4.57E-07	4.10E-08	0	0	0
10	C10orf71	6.94E-05	2.12E-05	4.03E-06	1.80E-06	4.42E-05	1.85E-07	2.08E-05	1.51E-05	1.13E-08	2.08E-05	1.51E-05	0	1.78E-06	1.70E-08	0	0	1.85E-07
10	C10orf76	2.92E-05	7.08E-06	3.18E-06	2.11E-06	1.90E-05	1.63E-06	1.88E-05	1.79E-05	2.45E-06	1.88E-05	1.79E-05	1.23E-06	8.56E-07	1.84E-08	0	0	1.63E-06
10	C10orf82	1.06E-05	3.24E-06	7.97E-07	4.87E-07	6.60E-06	3.18E-08	2.74E-06	1.94E-06	1.17E-07	2.74E-06	1.94E-06	1.98E-07	2.48E-07	4.05E-08	0	0	3.18E-08
10	C10orf88	1.90E-05	5.37E-06	1.45E-06	7.83E-07	1.22E-05	1.58E-07	7.28E-06	5.16E-06	1.16E-07	7.28E-06	5.16E-06	2.33E-07	5.31E-07	1.98E-08	0	0	1.58E-07
10	C10orf90	4.08E-05	1.13E-05	3.28E-06	1.73E-06	2.62E-05	1.91E-08	1.25E-05	8.68E-06	6.92E-07	1.25E-05	8.68E-06	4.52E-07	1.24E-06	2.94E-08	0	0	1.91E-08
10	C10orf91	8.62E-06	2.75E-06	5.25E-07	2.93E-07	5.34E-06	0	1.41E-06	3.02E-07	0	1.41E-06	3.02E-07	9.01E-08	1.85E-07	1.82E-08	0	0	0
10	C10orf95	2.80E-05	8.86E-06	1.23E-06	5.83E-07	1.79E-05	0	9.48E-06	5.96E-06	5.78E-09	9.48E-06	5.96E-06	4.34E-08	5.21E-07	1.84E-08	8.82E-06	0	8.82E-06
10	C10orf99	3.41E-06	7.34E-07	4.83E-07	2.77E-07	2.20E-06	0	9.07E-07	6.49E-07	1.32E-08	9.07E-07	6.49E-07	9.20E-08	1.64E-07	2.08E-08	0	0	0
10	C1QL3	2.06E-05	7.76E-06	6.74E-07	3.37E-07	1.22E-05	3.30E-06	1.18E-05	9.61E-06	2.50E-07	1.18E-05	9.65E-06	4.58E-08	2.69E-07	2.22E-08	4.89E-06	1.47E-06	6.72E-06
10	CACNB2	4.16E-05	1.13E-05	3.82E-06	2.21E-06	2.65E-05	1.37E-05	2.52E-05	2.13E-05	3.70E-06	2.52E-05	2.22E-05	9.02E-07	1.29E-06	2.55E-08	0	0	1.37E-05
10	CACUL1	1.97E-05	6.29E-06	1.67E-06	1.03E-06	1.17E-05	1.36E-06	1.06E-05	8.20E-06	4.93E-07	1.06E-05	8.20E-06	4.84E-07	5.15E-07	2.70E-08	0	0	1.36E-06
10	CALHM1	2.53E-05	8.20E-06	1.00E-06	4.83E-07	1.61E-05	1.18E-07	1.31E-05	1.12E-05	4.66E-07	1.31E-05	1.12E-05	4.66E-08	4.17E-07	1.93E-08	0	0	1.18E-07
