Chr	gene	all	syn	lof	lof_SNV	mis	Mis_MetaSVM	Mis_CADD15	Mis_CADD20	Mis_CADD30	Mis_MetaSVM_or_CADD15	Mis_MetaSVM_or_CADD20	Mis_MetaSVM_or_CADD30	SpliceSite	StopGain	StopLoss
1	ISG15	1.18E-05	4.10E-06	4.83E-07	2.48E-07	7.20E-06	3.49E-07	4.22E-06	3.42E-06	1.01E-07	4.33E-06	3.55E-06	4.51E-07	4.60E-08	1.88E-07	1.35E-08
1	AGRN	0.000164421	5.43E-05	8.65E-06	4.95E-06	0.000101512	2.14E-05	7.73E-05	6.68E-05	4.02E-06	7.75E-05	6.73E-05	2.34E-05	1.97E-06	2.96E-06	2.55E-08
1	RNF223	1.86E-05	5.83E-06	5.77E-07	2.78E-07	1.22E-05	1.85E-06	6.19E-06	4.98E-06	2.05E-07	6.20E-06	5.02E-06	1.86E-06	2.02E-08	2.39E-07	1.91E-08
1	C1orf159	2.60E-05	8.39E-06	1.44E-06	1.00E-06	1.62E-05	0	5.83E-06	5.05E-06	1.90E-07	5.83E-06	5.05E-06	1.90E-07	6.29E-07	3.52E-07	2.12E-08
1	TTLL10	4.56E-05	1.38E-05	2.69E-06	1.54E-06	2.92E-05	1.49E-07	1.34E-05	1.16E-05	5.45E-07	1.34E-05	1.16E-05	6.94E-07	5.75E-07	9.23E-07	3.90E-08
1	TNFRSF18	2.50E-05	7.08E-06	1.95E-06	9.87E-07	1.59E-05	2.82E-07	7.32E-06	5.74E-06	0	7.42E-06	5.84E-06	2.82E-07	1.80E-07	7.71E-07	3.52E-08
1	TNFRSF4	1.90E-05	6.15E-06	8.92E-07	5.59E-07	1.19E-05	1.45E-06	6.09E-06	4.48E-06	2.06E-07	6.12E-06	4.67E-06	1.65E-06	2.72E-07	2.66E-07	2.12E-08
1	SDF4	2.87E-05	1.00E-05	1.37E-06	7.58E-07	1.73E-05	1.18E-06	1.13E-05	1.01E-05	1.62E-06	1.13E-05	1.01E-05	2.70E-06	2.24E-07	4.92E-07	4.25E-08
1	B3GALT6	3.87E-05	1.34E-05	1.04E-06	4.71E-07	2.43E-05	1.64E-06	1.87E-05	1.46E-05	2.23E-06	1.87E-05	1.46E-05	3.61E-06	0	4.53E-07	1.84E-08
1	C1QTNF12	2.45E-05	7.85E-06	1.31E-06	8.40E-07	1.53E-05	1.56E-07	8.55E-06	6.81E-06	5.78E-09	8.55E-06	6.81E-06	1.61E-07	4.42E-07	3.79E-07	1.93E-08
1	UBE2J2	1.61E-05	5.53E-06	1.12E-06	6.61E-07	9.43E-06	1.39E-06	7.95E-06	7.15E-06	1.36E-06	7.95E-06	7.16E-06	2.14E-06	2.72E-07	3.70E-07	1.93E-08
1	SCNN1D	5.30E-05	1.69E-05	3.61E-06	2.05E-06	3.25E-05	1.93E-06	1.35E-05	1.05E-05	0	1.36E-05	1.05E-05	1.93E-06	7.84E-07	1.25E-06	1.82E-08
1	ACAP3	6.18E-05	2.00E-05	3.41E-06	2.11E-06	3.84E-05	3.82E-06	2.98E-05	2.59E-05	2.63E-06	2.98E-05	2.60E-05	6.06E-06	1.05E-06	1.04E-06	1.97E-08
1	MIR6726	1.94E-08	0	1.94E-08	1.94E-08	0	0	0	0	0	0	0	0	1.94E-08	0	0
1	PUSL1	2.78E-05	8.99E-06	1.40E-06	8.14E-07	1.74E-05	1.79E-06	9.37E-06	7.94E-06	1.77E-07	9.37E-06	7.94E-06	1.88E-06	3.16E-07	4.70E-07	2.84E-08
1	INTS11	4.21E-05	1.28E-05	3.53E-06	2.30E-06	2.58E-05	7.30E-06	2.09E-05	1.90E-05	4.94E-06	2.09E-05	1.90E-05	9.68E-06	1.30E-06	9.84E-07	1.84E-08
1	MIR6727	2.02E-08	0	2.02E-08	2.02E-08	0	0	0	0	0	0	0	0	2.02E-08	0	0
1	CPTP	1.64E-05	5.27E-06	5.65E-07	2.88E-07	1.06E-05	1.90E-06	6.45E-06	5.45E-06	6.92E-07	6.45E-06	5.45E-06	1.91E-06	4.67E-08	2.21E-07	1.97E-08
1	TAS1R3	5.93E-05	1.98E-05	2.89E-06	1.42E-06	3.66E-05	1.17E-05	1.95E-05	1.63E-05	9.93E-08	1.98E-05	1.72E-05	1.18E-05	2.31E-07	1.17E-06	2.22E-08
1	DVL1	5.68E-05	1.74E-05	3.09E-06	1.81E-06	3.63E-05	1.11E-06	2.94E-05	2.63E-05	1.38E-06	2.94E-05	2.63E-05	2.38E-06	7.60E-07	1.02E-06	2.20E-08
1	MIR6808	2.02E-08	0	2.02E-08	2.02E-08	0	0	0	0	0	0	0	0	2.02E-08	0	0
1	MXRA8	4.36E-05	1.49E-05	2.18E-06	1.32E-06	2.65E-05	1.19E-06	1.82E-05	1.60E-05	8.43E-07	1.83E-05	1.61E-05	2.03E-06	5.95E-07	6.84E-07	4.43E-08
1	AURKAIP1	1.42E-05	4.22E-06	6.69E-07	3.74E-07	9.35E-06	2.65E-08	5.30E-06	4.75E-06	1.08E-06	5.30E-06	4.75E-06	1.09E-06	1.12E-07	2.36E-07	2.56E-08
1	CCNL2	4.23E-05	1.21E-05	3.62E-06	1.94E-06	2.66E-05	5.55E-07	1.87E-05	1.68E-05	3.58E-06	1.87E-05	1.68E-05	3.86E-06	5.63E-07	1.34E-06	4.13E-08
1	MRPL20	9.71E-06	2.58E-06	1.47E-06	8.30E-07	5.66E-06	1.32E-06	4.09E-06	3.81E-06	5.17E-07	4.09E-06	3.81E-06	1.35E-06	2.81E-07	5.10E-07	3.81E-08
1	ANKRD65	3.58E-05	1.03E-05	2.38E-06	1.15E-06	2.31E-05	1.97E-07	1.02E-05	7.09E-06	0	1.02E-05	7.12E-06	1.97E-07	1.11E-07	9.86E-07	5.11E-08
1	TMEM88B	1.59E-05	5.75E-06	3.75E-07	2.05E-07	9.79E-06	0	7.49E-06	6.25E-06	2.18E-07	7.49E-06	6.25E-06	2.18E-07	4.67E-08	1.36E-07	2.22E-08
1	VWA1	4.03E-05	1.28E-05	1.68E-06	8.22E-07	2.58E-05	4.77E-06	1.66E-05	1.47E-05	6.96E-07	1.72E-05	1.55E-05	5.22E-06	9.20E-08	6.87E-07	4.30E-08
1	ATAD3C	2.96E-05	9.01E-06	1.88E-06	1.12E-06	1.87E-05	1.09E-05	1.34E-05	1.10E-05	8.55E-08	1.44E-05	1.30E-05	1.09E-05	4.99E-07	6.07E-07	1.84E-08
1	ATAD3B	5.23E-05	1.58E-05	3.62E-06	2.12E-06	3.29E-05	1.38E-05	2.20E-05	1.92E-05	1.71E-06	2.32E-05	2.13E-05	1.46E-05	9.08E-07	1.20E-06	2.07E-08
1	ATAD3A	4.94E-05	1.50E-05	3.54E-06	2.18E-06	3.09E-05	1.53E-05	2.47E-05	2.19E-05	3.60E-06	2.52E-05	2.30E-05	1.64E-05	1.07E-06	1.09E-06	1.84E-08
1	TMEM240	1.50E-05	5.12E-06	8.52E-07	4.66E-07	9.08E-06	0	8.21E-06	7.35E-06	1.01E-06	8.21E-06	7.35E-06	1.01E-06	1.39E-07	3.08E-07	1.93E-08
1	SSU72	1.15E-05	3.62E-06	8.73E-07	4.97E-07	6.98E-06	8.07E-07	6.25E-06	5.35E-06	6.47E-07	6.25E-06	5.35E-06	1.20E-06	1.79E-07	3.00E-07	1.84E-08
1	FNDC10	2.71E-05	9.84E-06	5.28E-07	2.45E-07	1.67E-05	0	1.28E-05	1.11E-05	9.42E-07	1.28E-05	1.11E-05	9.42E-07	0	2.27E-07	1.83E-08
1	LOC105378586	3.42E-08	9.82E-09	1.53E-08	6.78E-09	9.13E-09	0	9.13E-09	7.95E-09	0	9.13E-09	7.95E-09	0	0	6.78E-09	0
1	MIB2	9.26E-05	2.94E-05	5.03E-06	2.89E-06	5.82E-05	1.19E-05	4.39E-05	3.77E-05	4.94E-06	4.41E-05	3.80E-05	1.47E-05	1.15E-06	1.71E-06	3.60E-08
1	MMP23A	1.83E-08	0	1.83E-08	1.83E-08	0	0	0	0	0	0	0	0	1.83E-08	0	0
1	MMP23B	3.57E-05	1.18E-05	1.56E-06	8.82E-07	2.23E-05	6.71E-07	1.52E-05	1.29E-05	3.49E-07	1.52E-05	1.29E-05	1.02E-06	3.20E-07	5.43E-07	1.84E-08
1	CDK11B	5.06E-05	1.42E-05	4.12E-06	2.34E-06	3.22E-05	0	2.60E-05	2.34E-05	7.20E-07	2.60E-05	2.34E-05	7.20E-07	8.94E-07	1.42E-06	1.83E-08
1	SLC35E2B	2.70E-05	9.50E-06	1.44E-06	9.22E-07	1.61E-05	4.41E-06	1.15E-05	1.01E-05	7.95E-07	1.15E-05	1.03E-05	4.95E-06	4.89E-07	4.15E-07	1.84E-08
1	CDK11A	4.99E-05	1.42E-05	4.39E-06	2.43E-06	3.13E-05	2.48E-06	2.61E-05	2.29E-05	1.34E-06	2.61E-05	2.30E-05	3.82E-06	8.48E-07	1.57E-06	1.83E-08
1	SLC35E2A	1.83E-05	5.72E-06	1.15E-06	6.43E-07	1.14E-05	2.87E-06	7.33E-06	6.02E-06	5.02E-07	7.35E-06	6.09E-06	3.18E-06	2.04E-07	4.06E-07	3.34E-08
1	NADK	4.17E-05	1.32E-05	2.81E-06	1.67E-06	2.57E-05	3.11E-06	1.51E-05	1.31E-05	3.06E-06	1.51E-05	1.31E-05	5.24E-06	7.39E-07	9.13E-07	1.97E-08
1	GNB1	2.14E-05	6.27E-06	1.94E-06	1.17E-06	1.32E-05	2.43E-06	1.25E-05	1.18E-05	3.54E-06	1.25E-05	1.18E-05	4.50E-06	5.32E-07	6.20E-07	1.45E-08
1	CALML6	9.66E-06	3.06E-06	7.76E-07	4.80E-07	5.82E-06	4.70E-07	3.71E-06	2.97E-06	0	3.72E-06	3.00E-06	4.70E-07	2.22E-07	2.37E-07	2.07E-08
1	TMEM52	1.33E-05	4.41E-06	6.56E-07	4.00E-07	8.22E-06	0	4.02E-06	3.35E-06	4.98E-09	4.02E-06	3.35E-06	4.98E-09	1.79E-07	2.04E-07	1.69E-08
1	CFAP74	0.000102415	3.22E-05	7.48E-06	4.35E-06	6.27E-05	4.90E-07	2.64E-05	2.17E-05	1.09E-06	2.66E-05	2.19E-05	1.58E-06	1.83E-06	2.51E-06	1.35E-08
1	GABRD	3.48E-05	1.16E-05	1.73E-06	9.86E-07	2.15E-05	9.37E-06	1.74E-05	1.56E-05	2.57E-06	1.75E-05	1.58E-05	9.79E-06	3.67E-07	5.99E-07	1.93E-08
1	PRKCZ	4.09E-05	1.34E-05	2.47E-06	1.59E-06	2.51E-05	5.91E-06	2.02E-05	1.80E-05	2.94E-06	2.02E-05	1.81E-05	6.93E-06	8.58E-07	7.09E-07	1.93E-08
1	FAAP20	3.27E-05	7.10E-06	2.90E-06	1.58E-06	2.27E-05	1.61E-07	5.71E-06	4.48E-06	4.70E-09	5.71E-06	4.48E-06	1.61E-07	4.37E-07	1.05E-06	9.70E-08
1	SKI	6.28E-05	2.18E-05	2.46E-06	1.26E-06	3.86E-05	2.84E-05	3.05E-05	2.75E-05	4.57E-06	3.20E-05	3.04E-05	2.84E-05	2.78E-07	9.58E-07	2.24E-08
1	MORN1	3.52E-05	1.17E-05	2.38E-06	1.42E-06	2.12E-05	2.27E-06	1.18E-05	1.01E-05	4.56E-07	1.18E-05	1.01E-05	2.48E-06	6.10E-07	7.68E-07	3.89E-08
1	RER1	1.11E-05	3.24E-06	1.34E-06	7.44E-07	6.55E-06	2.68E-06	5.75E-06	4.95E-06	1.26E-06	5.75E-06	4.95E-06	2.84E-06	2.49E-07	4.74E-07	2.13E-08
1	PEX10	2.50E-05	7.65E-06	1.72E-06	9.72E-07	1.56E-05	5.38E-06	9.87E-06	9.05E-06	1.76E-06	9.91E-06	9.14E-06	5.69E-06	3.52E-07	6.02E-07	1.84E-08
1	PLCH2	0.000107573	3.19E-05	6.40E-06	3.45E-06	6.93E-05	7.23E-06	3.37E-05	3.06E-05	4.28E-06	3.37E-05	3.06E-05	9.34E-06	1.03E-06	2.36E-06	5.52E-08
1	PANK4	5.53E-05	1.86E-05	3.01E-06	1.87E-06	3.36E-05	1.76E-05	2.83E-05	2.54E-05	5.49E-06	3.09E-05	2.97E-05	2.10E-05	9.35E-07	9.12E-07	1.93E-08
1	HES5	1.54E-05	5.67E-06	7.27E-07	3.85E-07	9.03E-06	2.29E-06	4.31E-06	3.66E-06	7.78E-09	4.39E-06	3.87E-06	2.29E-06	8.94E-08	2.74E-07	2.20E-08
1	TNFRSF14-AS1	2.02E-08	1.13E-08	0	0	8.86E-09	0	0	0	0	0	0	0	0	0	0
1	TNFRSF14	1.74E-05	5.68E-06	1.16E-06	7.18E-07	1.06E-05	1.01E-06	3.85E-06	3.15E-06	0	3.89E-06	3.34E-06	1.01E-06	3.19E-07	3.55E-07	4.40E-08
1	PRXL2B	1.61E-05	4.11E-06	1.44E-06	8.17E-07	1.05E-05	5.15E-07	6.31E-06	5.50E-06	2.62E-07	6.31E-06	5.50E-06	6.92E-07	2.82E-07	4.95E-07	4.01E-08
1	MMEL1	5.11E-05	1.52E-05	5.19E-06	3.04E-06	3.07E-05	1.42E-05	2.25E-05	2.00E-05	3.64E-06	2.26E-05	2.04E-05	1.44E-05	1.30E-06	1.72E-06	2.08E-08
1	TTC34	3.89E-05	1.21E-05	2.20E-06	1.14E-06	2.45E-05	2.07E-06	1.21E-05	9.88E-06	9.11E-08	1.22E-05	1.02E-05	2.16E-06	2.80E-07	8.42E-07	2.20E-08
1	ACTRT2	2.30E-05	8.08E-06	8.63E-07	3.94E-07	1.41E-05	8.58E-06	9.94E-06	9.00E-06	1.91E-07	1.13E-05	1.10E-05	8.68E-06	0	3.76E-07	1.82E-08
1	PRDM16	9.05E-05	3.13E-05	4.61E-06	2.47E-06	5.45E-05	3.09E-06	3.96E-05	3.52E-05	6.02E-06	3.97E-05	3.54E-05	8.64E-06	7.32E-07	1.71E-06	2.12E-08
1	ARHGEF16	4.65E-05	1.39E-05	2.87E-06	1.70E-06	2.97E-05	4.59E-06	2.05E-05	1.85E-05	3.71E-06	2.05E-05	1.86E-05	6.27E-06	7.39E-07	9.39E-07	2.08E-08
1	MEGF6	0.000111269	3.59E-05	8.17E-06	5.03E-06	6.72E-05	2.17E-05	4.24E-05	3.66E-05	2.81E-06	4.28E-05	3.76E-05	2.23E-05	2.50E-06	2.51E-06	2.07E-08
1	TPRG1L	2.05E-05	6.58E-06	1.35E-06	7.11E-07	1.26E-05	9.91E-07	9.24E-06	7.97E-06	1.28E-06	9.24E-06	7.97E-06	1.77E-06	1.78E-07	5.14E-07	1.92E-08
1	WRAP73	2.97E-05	9.72E-06	2.24E-06	1.28E-06	1.77E-05	1.79E-06	1.37E-05	1.26E-05	2.93E-06	1.38E-05	1.26E-05	4.00E-06	4.97E-07	7.66E-07	2.08E-08
1	TP73	4.78E-05	1.36E-05	3.51E-06	2.00E-06	3.06E-05	2.92E-05	2.21E-05	1.96E-05	3.43E-06	2.96E-05	2.95E-05	2.92E-05	7.53E-07	1.20E-06	5.11E-08
1	CCDC27	3.48E-05	1.06E-05	3.56E-06	1.88E-06	2.07E-05	0	8.53E-06	6.67E-06	1.85E-07	8.53E-06	6.67E-06	1.85E-07	5.09E-07	1.35E-06	2.07E-08
1	SMIM1	4.57E-06	1.42E-06	2.84E-07	1.63E-07	2.87E-06	0	1.63E-06	1.33E-06	9.30E-08	1.63E-06	1.33E-06	9.30E-08	4.67E-08	9.63E-08	2.02E-08
1	LRRC47	4.25E-05	1.40E-05	1.98E-06	1.04E-06	2.65E-05	1.09E-06	1.89E-05	1.64E-05	2.42E-06	1.89E-05	1.64E-05	3.03E-06	2.72E-07	7.50E-07	2.12E-08
1	CEP104	4.69E-05	1.28E-05	4.86E-06	2.82E-06	2.92E-05	3.87E-06	2.00E-05	1.80E-05	3.92E-06	2.00E-05	1.80E-05	6.63E-06	1.17E-06	1.63E-06	2.12E-08
1	DFFB	2.16E-05	5.90E-06	1.53E-06	8.36E-07	1.41E-05	3.11E-07	8.91E-06	7.36E-06	1.41E-06	8.91E-06	7.36E-06	1.58E-06	2.57E-07	5.57E-07	2.22E-08
1	C1orf174	1.38E-05	4.11E-06	1.32E-06	6.76E-07	8.33E-06	2.65E-08	4.66E-06	4.05E-06	7.34E-07	4.66E-06	4.05E-06	7.44E-07	1.36E-07	5.19E-07	2.08E-08
1	AJAP1	2.92E-05	9.23E-06	1.72E-06	8.79E-07	1.82E-05	0	1.20E-05	9.81E-06	7.38E-07	1.20E-05	9.81E-06	7.38E-07	1.84E-07	6.74E-07	2.12E-08
1	NPHP4	9.22E-05	2.81E-05	6.71E-06	3.92E-06	5.74E-05	2.52E-05	3.79E-05	3.25E-05	5.78E-06	3.85E-05	3.37E-05	2.54E-05	1.66E-06	2.24E-06	1.93E-08
1	KCNAB2	2.91E-05	8.43E-06	2.24E-06	1.42E-06	1.85E-05	1.99E-06	1.76E-05	1.58E-05	4.84E-06	1.76E-05	1.58E-05	5.32E-06	7.59E-07	6.52E-07	1.35E-08
1	CHD5	0.000120927	3.81E-05	8.70E-06	5.05E-06	7.41E-05	5.23E-05	6.69E-05	6.18E-05	2.20E-05	6.74E-05	6.39E-05	5.39E-05	2.10E-06	2.93E-06	1.97E-08
1	RPL22	6.34E-06	1.80E-06	4.93E-07	3.01E-07	4.04E-06	5.23E-07	3.86E-06	3.56E-06	4.28E-07	3.86E-06	3.56E-06	7.91E-07	1.34E-07	1.53E-07	1.33E-08
1	RNF207	4.68E-05	1.51E-05	3.49E-06	2.04E-06	2.82E-05	1.85E-06	2.02E-05	1.74E-05	2.81E-06	2.02E-05	1.74E-05	4.46E-06	8.69E-07	1.16E-06	1.92E-08
1	ICMT	1.85E-05	5.92E-06	1.59E-06	8.21E-07	1.10E-05	1.77E-06	9.71E-06	8.41E-06	1.60E-06	9.71E-06	8.41E-06	2.26E-06	1.81E-07	6.18E-07	2.20E-08
1	HES3	1.63E-05	5.50E-06	6.18E-07	3.46E-07	1.01E-05	2.18E-06	6.25E-06	5.05E-06	1.65E-06	6.26E-06	5.09E-06	2.48E-06	1.11E-07	2.18E-07	1.82E-08
1	GPR153	5.27E-05	1.82E-05	1.59E-06	8.20E-07	3.30E-05	3.11E-07	2.58E-05	2.32E-05	3.96E-06	2.58E-05	2.32E-05	4.04E-06	1.86E-07	6.15E-07	1.97E-08
1	ACOT7	3.26E-05	1.05E-05	1.81E-06	1.06E-06	2.03E-05	7.72E-07	1.61E-05	1.42E-05	4.84E-06	1.61E-05	1.42E-05	4.95E-06	4.42E-07	5.97E-07	2.13E-08
1	HES2	1.70E-05	5.80E-06	6.40E-07	4.41E-07	1.05E-05	2.71E-06	7.46E-06	6.44E-06	2.36E-06	7.49E-06	6.49E-06	3.21E-06	2.61E-07	1.59E-07	2.08E-08
1	ESPN	7.19E-05	2.56E-05	2.89E-06	1.63E-06	4.34E-05	1.19E-05	3.65E-05	3.43E-05	1.06E-05	3.65E-05	3.44E-05	1.70E-05	5.90E-07	1.01E-06	2.13E-08
1	TNFRSF25	2.98E-05	8.98E-06	1.97E-06	1.11E-06	1.88E-05	8.08E-06	1.15E-05	9.61E-06	0	1.20E-05	1.07E-05	8.08E-06	3.91E-07	6.84E-07	3.70E-08
1	PLEKHG5	6.98E-05	2.06E-05	4.61E-06	2.89E-06	4.46E-05	6.36E-06	3.56E-05	3.26E-05	9.19E-06	3.56E-05	3.26E-05	1.20E-05	1.48E-06	1.38E-06	3.23E-08
1	NOL9	3.94E-05	1.08E-05	3.07E-06	1.66E-06	2.56E-05	4.26E-07	1.62E-05	1.38E-05	1.12E-06	1.62E-05	1.38E-05	1.41E-06	5.03E-07	1.13E-06	2.31E-08
1	TAS1R1	4.24E-05	1.28E-05	2.64E-06	1.31E-06	2.70E-05	9.61E-06	1.49E-05	1.31E-05	9.90E-07	1.53E-05	1.38E-05	9.64E-06	2.29E-07	1.06E-06	2.12E-08
1	ZBTB48	3.75E-05	1.07E-05	2.95E-06	1.56E-06	2.38E-05	1.52E-06	1.93E-05	1.73E-05	5.30E-06	1.93E-05	1.73E-05	6.59E-06	4.17E-07	1.11E-06	2.61E-08
1	KLHL21	5.63E-05	1.92E-05	2.38E-06	1.17E-06	3.47E-05	8.42E-06	3.04E-05	2.70E-05	4.87E-06	3.05E-05	2.71E-05	1.05E-05	1.61E-07	9.73E-07	3.44E-08
1	PHF13	1.83E-05	5.36E-06	1.18E-06	6.11E-07	1.18E-05	1.11E-06	9.35E-06	8.36E-06	3.37E-06	9.35E-06	8.37E-06	3.88E-06	1.37E-07	4.53E-07	2.12E-08
1	THAP3	1.60E-05	4.28E-06	1.08E-06	6.13E-07	1.06E-05	6.94E-06	6.48E-06	5.96E-06	1.72E-06	7.42E-06	7.21E-06	6.94E-06	2.02E-07	3.73E-07	3.75E-08
1	DNAJC11	3.11E-05	8.58E-06	3.78E-06	2.07E-06	1.87E-05	8.19E-07	1.70E-05	1.55E-05	4.02E-06	1.70E-05	1.55E-05	4.31E-06	6.78E-07	1.37E-06	2.01E-08
1	CAMTA1	0.000102515	3.14E-05	7.94E-06	4.22E-06	6.31E-05	2.83E-06	5.32E-05	4.79E-05	1.09E-05	5.32E-05	4.79E-05	1.22E-05	1.16E-06	2.97E-06	8.75E-08
1	VAMP3	5.74E-06	1.52E-06	8.74E-07	5.04E-07	3.35E-06	5.59E-07	3.13E-06	2.94E-06	9.60E-07	3.13E-06	2.94E-06	1.13E-06	1.83E-07	2.96E-07	2.54E-08
1	PER3	6.15E-05	1.84E-05	4.85E-06	2.73E-06	3.83E-05	2.64E-07	2.16E-05	1.72E-05	1.23E-06	2.16E-05	1.72E-05	1.36E-06	1.02E-06	1.69E-06	1.70E-08
1	UTS2	7.12E-06	1.92E-06	5.44E-07	3.42E-07	4.65E-06	0	1.77E-06	1.43E-06	2.08E-07	1.77E-06	1.43E-06	2.08E-07	1.62E-07	1.62E-07	1.83E-08
1	TNFRSF9	1.26E-05	3.50E-06	1.32E-06	8.13E-07	7.77E-06	1.61E-06	3.09E-06	2.79E-06	2.95E-08	3.46E-06	3.22E-06	1.62E-06	3.87E-07	4.07E-07	1.92E-08
1	PARK7	8.78E-06	2.32E-06	7.26E-07	4.72E-07	5.74E-06	2.70E-06	4.93E-06	4.46E-06	1.13E-06	4.93E-06	4.48E-06	2.71E-06	2.47E-07	2.03E-07	2.13E-08
1	ERRFI1	2.00E-05	5.31E-06	1.83E-06	8.73E-07	1.28E-05	9.18E-07	8.75E-06	7.82E-06	1.69E-06	8.75E-06	7.83E-06	2.35E-06	8.87E-08	7.64E-07	2.07E-08
1	SLC45A1	5.30E-05	1.82E-05	3.01E-06	1.62E-06	3.17E-05	1.08E-05	2.34E-05	2.11E-05	4.62E-06	2.35E-05	2.15E-05	1.24E-05	4.93E-07	1.11E-06	2.12E-08
1	RERE	9.43E-05	2.83E-05	6.80E-06	3.57E-06	5.92E-05	5.72E-06	4.88E-05	4.39E-05	1.07E-05	4.88E-05	4.40E-05	1.47E-05	9.75E-07	2.58E-06	1.98E-08
1	ENO1	2.27E-05	6.93E-06	1.65E-06	1.10E-06	1.41E-05	3.98E-06	1.28E-05	1.23E-05	3.75E-06	1.28E-05	1.23E-05	5.31E-06	6.41E-07	4.43E-07	1.46E-08
1	MIR6728	2.02E-08	0	2.02E-08	2.02E-08	0	0	0	0	0	0	0	0	2.02E-08	0	0
1	CA6	1.70E-05	5.07E-06	1.34E-06	8.06E-07	1.06E-05	2.13E-06	5.59E-06	4.67E-06	3.25E-07	5.60E-06	4.69E-06	2.13E-06	3.43E-07	4.27E-07	3.67E-08
1	SLC2A7	3.23E-05	1.05E-05	2.13E-06	1.23E-06	1.96E-05	6.16E-06	1.42E-05	1.28E-05	1.32E-06	1.42E-05	1.29E-05	6.34E-06	5.01E-07	7.14E-07	2.02E-08
1	SLC2A5	3.39E-05	1.12E-05	1.99E-06	1.24E-06	2.06E-05	8.18E-06	1.47E-05	1.35E-05	2.91E-06	1.47E-05	1.36E-05	8.54E-06	5.94E-07	5.99E-07	4.80E-08
1	GPR157	2.70E-05	9.45E-06	1.16E-06	6.04E-07	1.64E-05	2.44E-07	1.23E-05	1.10E-05	3.42E-06	1.23E-05	1.10E-05	3.54E-06	1.37E-07	4.49E-07	1.84E-08
1	H6PD	4.88E-05	1.48E-05	2.98E-06	1.44E-06	3.11E-05	2.10E-05	2.15E-05	1.86E-05	3.99E-06	2.66E-05	2.55E-05	2.14E-05	1.86E-07	1.23E-06	2.55E-08
1	SPSB1	1.85E-05	5.76E-06	1.30E-06	7.07E-07	1.14E-05	3.26E-06	1.02E-05	9.31E-06	2.34E-06	1.02E-05	9.32E-06	4.32E-06	2.12E-07	4.73E-07	2.22E-08
1	SLC25A33	1.60E-05	4.38E-06	1.27E-06	7.23E-07	1.03E-05	4.40E-06	9.23E-06	8.57E-06	2.44E-06	9.23E-06	8.58E-06	4.69E-06	2.69E-07	4.39E-07	1.56E-08
1	TMEM201	4.72E-05	1.54E-05	2.65E-06	1.45E-06	2.91E-05	2.83E-07	2.28E-05	2.10E-05	6.26E-06	2.28E-05	2.10E-05	6.53E-06	4.34E-07	9.63E-07	4.96E-08
