MutTable_Hydro_GeneName	pLI	mis_z
FBXO11	1.00E+00	4.38E+00
NOTCH1	1.00E+00	3.45E+00
COL3A1	1.00E+00	4.09E+00
PPP3CB	1.00E+00	3.79E+00
ILF3	1.00E+00	2.70E+00
PLEKHA5	1.00E+00	1.24E+00
ZNF521	1.00E+00	2.45E+00
TAB2	1.00E+00	1.61E+00
CTNND2	1.00E+00	2.77E+00
DDX5	1.00E+00	2.76E+00
ACTN4	1.00E+00	4.16E+00
UPF2	1.00E+00	3.19E+00
CARM1	1.00E+00	4.25E+00
PAXIP1	1.00E+00	3.28E+00
BPTF	1.00E+00	3.71E+00
EP300	1.00E+00	2.03E+00
FBXL19	1.00E+00	3.87E+00
CREBRF	1.00E+00	2.36E+00
HDAC2	1.00E+00	4.05E+00
SP1	1.00E+00	1.14E+00
MAPK8IP2	1.00E+00	2.56E+00
AP2A1	1.00E+00	4.40E+00
ARCN1	1.00E+00	2.08E+00
SPTAN1	1.00E+00	5.52E+00
RPTOR	1.00E+00	4.94E+00
CAND1	1.00E+00	4.16E+00
COPS2	1.00E+00	4.13E+00
SALL4	1.00E+00	1.08E+00
CACNA1C	1.00E+00	6.47E+00
ARID1B	1.00E+00	2.59E+00
PSMD2	1.00E+00	3.09E+00
PSMD3	1.00E+00	2.28E+00
KMT2D	1.00E+00	3.73E+00
UBAP2L	1.00E+00	3.34E+00
ZNF148	1.00E+00	3.52E+00
BTK	1.00E+00	4.04E+00
RRM1	1.00E+00	3.99E+00
PPP2R5E	1.00E+00	3.83E+00
RFX3	1.00E+00	3.47E+00
BIRC6	1.00E+00	3.21E+00
LMNB2	1.00E+00	6.59E-01
CLTC	1.00E+00	7.76E+00
COPA	1.00E+00	3.56E+00
COL1A1	1.00E+00	3.53E+00
DHX15	1.00E+00	5.63E+00
DHX9	1.00E+00	5.84E+00
MAP2	1.00E+00	8.84E-01
ZMYM3	1.00E+00	4.31E+00
AGO2	1.00E+00	6.06E+00
ANK2	1.00E+00	1.96E+00
RALGAPB	1.00E+00	3.18E+00
IPO7	1.00E+00	3.53E+00
PRPF19	1.00E+00	3.74E+00
SCAF4	1.00E+00	1.94E+00
TBL1XR1	1.00E+00	4.20E+00
ZCCHC11	1.00E+00	2.76E+00
ZCCHC6	1.00E+00	2.73E+00
ANKRD11	1.00E+00	-5.54E-01
PAFAH1B1	1.00E+00	3.53E+00
ZEB2	1.00E+00	3.94E+00
AP2A2	1.00E+00	3.13E+00
SMU1	1.00E+00	4.31E+00
NAA25	1.00E+00	3.45E+00
UBA1	1.00E+00	3.48E+00
BAZ1B	1.00E+00	3.72E+00
HNRNPH1	1.00E+00	4.09E+00
DCAF1	1.00E+00	4.84E+00
CTIF	1.00E+00	1.49E+00
ABCB7	1.00E+00	2.90E+00
UTP15	1.00E+00	1.44E+00
SETBP1	1.00E+00	1.10E+00
ARID5B	1.00E+00	2.60E+00
RBM10	1.00E+00	4.46E+00
TPR	1.00E+00	2.99E+00
RCOR1	1.00E+00	1.87E+00
SUFU	1.00E+00	1.93E+00
TRPS1	1.00E+00	1.54E+00
MTA1	1.00E+00	3.50E+00
RUVBL2	1.00E+00	3.11E+00
EIF4G3	1.00E+00	2.97E+00
MDM4	1.00E+00	1.71E+00
NTRK2	1.00E+00	3.73E+00
ANKHD1	1.00E+00	4.47E+00
ANKHD1-EIF4EBP3	1.00E+00	4.47E+00
RORB	1.00E+00	3.08E+00
TIAL1	1.00E+00	3.58E+00
NRXN3	1.00E+00	3.44E+00
PTPRD	1.00E+00	2.73E-01
WAPL	1.00E+00	3.46E+00
RBM26	1.00E+00	2.53E+00
RIF1	1.00E+00	-4.14E-01
NLK	1.00E+00	3.57E+00
PHIP	1.00E+00	5.14E+00
ADGRL2	1.00E+00	1.22E+00
DPYSL5	1.00E+00	3.08E+00
USP8	1.00E+00	1.87E+00
TIPARP	1.00E+00	1.73E+00
ZBTB4	1.00E+00	1.93E+00
ISY1	1.00E+00	1.24E+00
HNRNPU	1.00E+00	3.37E+00
TLK2	1.00E+00	4.49E+00
TRERF1	1.00E+00	2.26E+00
DHX30	1.00E+00	5.30E+00
MYCBP2	1.00E+00	6.05E+00
FUBP1	1.00E+00	2.97E+00
TRIM24	1.00E+00	3.43E+00
ZC3H7A	1.00E+00	1.75E+00
UBXN7	1.00E+00	3.18E+00
SLC17A7	1.00E+00	3.49E+00
NOTCH2	1.00E+00	3.50E+00
SMARCC1	1.00E+00	2.45E+00
RAI1	1.00E+00	1.12E+00
CSE1L	1.00E+00	2.85E+00
EIF4A1	1.00E+00	3.93E+00
PIK3CA	1.00E+00	5.60E+00
KIF5C	1.00E+00	4.05E+00
REV3L	1.00E+00	2.47E+00
AGPS	1.00E+00	3.23E+00
ADAM10	1.00E+00	3.31E+00
MED1	1.00E+00	2.14E+00
SMARCC2	1.00E+00	3.91E+00
MYRF	1.00E+00	3.29E+00
DOT1L	1.00E+00	2.72E+00
CHAF1A	1.00E+00	1.85E+00
PSMD1	1.00E+00	3.70E+00
SRRM2	1.00E+00	-6.28E+00
PIAS4	1.00E+00	2.63E+00
ACTR3	1.00E+00	3.61E+00
DDX3X	1.00E+00	4.33E+00
TSC1	1.00E+00	2.32E+00
SON	1.00E+00	1.54E+00
NSD2	1.00E+00	3.90E+00
ELOA	1.00E+00	1.79E+00
STAG1	1.00E+00	4.44E+00
ATRX	1.00E+00	3.10E+00
VCPIP1	1.00E+00	3.56E+00
EIF4A3	1.00E+00	4.02E+00
MAU2	1.00E+00	4.03E+00
PSMC2	1.00E+00	3.62E+00
DAZAP1	1.00E+00	3.37E+00
POGZ	1.00E+00	3.51E+00
PRKAR1A	1.00E+00	3.12E+00
SF3A3	1.00E+00	3.62E+00
FXR1	1.00E+00	3.20E+00
CDC42BPB	1.00E+00	3.66E+00
XPO7	1.00E+00	4.82E+00
RARB	1.00E+00	2.87E+00
RERE	1.00E+00	2.03E+00
ZMYND11	1.00E+00	3.71E+00
RPL4	1.00E+00	1.27E+00
SUPT16H	1.00E+00	5.10E+00
ZBTB47	1.00E+00	2.45E+00
PRRC2C	1.00E+00	2.49E+00
PPFIA3	1.00E+00	5.49E+00
ATP1A1	1.00E+00	6.22E+00
KIF11	1.00E+00	3.27E+00
NCOA2	1.00E+00	2.29E+00
HIPK1	1.00E+00	2.48E+00
MARF1	1.00E+00	2.73E+00
ARMCX4	1.00E+00	2.64E+00
KMT2C	1.00E+00	2.14E+00
PIK3AP1	1.00E+00	2.26E+00
SEMA4C	1.00E+00	2.39E+00
CYTH1	1.00E+00	2.44E+00
RBM17	1.00E+00	3.10E+00
RTF1	1.00E+00	4.59E+00
IPO5	1.00E+00	3.36E+00
NUP98	1.00E+00	1.41E+00
TRAF2	1.00E+00	1.56E+00
EIF4B	1.00E+00	2.15E+00
ADNP	1.00E+00	2.07E+00
RET	1.00E+00	9.55E-01
TEAD1	1.00E+00	1.66E+00
CCDC22	1.00E+00	1.29E+00
SHANK3	1.00E+00	3.74E+00
CACNA1E	1.00E+00	5.81E+00
PRMT5	1.00E+00	3.03E+00
JADE3	1.00E+00	1.90E+00
WDR5	1.00E+00	3.39E+00
CUL4A	1.00E+00	2.81E+00
PCLO	1.00E+00	-1.46E+00
ZNF219	1.00E+00	2.92E+00
GAPVD1	1.00E+00	2.59E+00
EPC1	1.00E+00	2.67E+00
KCNB1	1.00E+00	4.27E+00
NLGN2	1.00E+00	4.47E+00
PCDH19	1.00E+00	2.59E+00
DDX17	1.00E+00	3.87E+00
RB1	1.00E+00	2.67E+00
WNK1	1.00E+00	2.16E+00
ZC3H18	1.00E+00	5.80E-01
CDK12	1.00E+00	2.52E+00
HECTD4	1.00E+00	6.94E+00
RALGPS1	1.00E+00	3.09E+00
TNRC6C	1.00E+00	1.65E+00
SCN2A	1.00E+00	6.46E+00
SOBP	1.00E+00	1.92E+00
VCP	1.00E+00	5.41E+00
TLN1	1.00E+00	4.67E+00
BTAF1	1.00E+00	4.38E+00
EPHA7	1.00E+00	2.39E+00
COL4A1	1.00E+00	3.02E+00
SIK3	1.00E+00	2.83E+00
KAT6B	1.00E+00	2.89E+00
KAT7	1.00E+00	4.28E+00
ZFR	1.00E+00	4.09E+00
GSE1	1.00E+00	-3.31E+00
GSK3A	1.00E+00	3.22E+00
L1CAM	1.00E+00	2.84E+00
CTNNB1	1.00E+00	3.85E+00
PBRM1	1.00E+00	3.84E+00
PRICKLE1	1.00E+00	1.83E+00
PUM1	1.00E+00	4.42E+00
AHCTF1	1.00E+00	-3.81E-01
TNPO2	1.00E+00	5.88E+00
AAK1	1.00E+00	2.61E+00
RASA1	1.00E+00	3.10E+00
CDC5L	1.00E+00	2.78E+00
FERMT2	1.00E+00	1.96E+00
WTAP	1.00E+00	2.27E+00
UBR3	1.00E+00	4.43E+00
SCN8A	1.00E+00	7.64E+00
FNIP2	1.00E+00	1.28E+00
MSN	1.00E+00	2.93E+00
PPP1R12A	1.00E+00	2.64E+00
RANBP9	1.00E+00	1.49E+00
USP47	1.00E+00	2.44E+00
CCDC88A	1.00E+00	2.35E+00
MLLT3	1.00E+00	1.90E+00
EIF3A	1.00E+00	3.04E+00
YTHDC2	1.00E+00	3.25E-01
KSR2	1.00E+00	3.34E+00
ZMYND8	1.00E+00	4.04E+00
CCNA2	1.00E+00	2.22E+00
PTPN6	1.00E+00	2.87E+00
SCML2	1.00E+00	2.40E+00
SNRK	1.00E+00	3.47E+00
MINK1	1.00E+00	4.08E+00
IRF6	1.00E+00	2.74E+00
ZRSR2	1.00E+00	1.46E+00
RFX7	1.00E+00	1.60E+00
CSTF2	1.00E+00	3.43E+00
NR4A2	1.00E+00	2.24E+00
TULP4	1.00E+00	1.37E+00
MAP1B	1.00E+00	2.51E+00
USP42	1.00E+00	-1.63E+00
ZNF592	1.00E+00	8.04E-01
NPAS2	1.00E+00	2.50E+00
ZSWIM8	1.00E+00	5.14E+00
IQSEC2	1.00E+00	5.19E+00
U2AF2	1.00E+00	4.71E+00
ITPR1	1.00E+00	5.60E+00
COL2A1	1.00E+00	3.29E+00
NPLOC4	1.00E+00	3.20E+00
MAPKAPK2	1.00E+00	3.05E+00
DDX42	1.00E+00	3.29E+00
CACNA1A	1.00E+00	5.78E+00
SUZ12	1.00E+00	3.40E+00
PHF12	1.00E+00	2.43E+00
DACH1	1.00E+00	2.19E+00
PORCN	1.00E+00	2.37E+00
CTR9	1.00E+00	4.30E+00
RBM5	1.00E+00	4.17E+00
NRBP1	1.00E+00	3.43E+00
TBX5	1.00E+00	1.19E+00
FRMD4A	1.00E+00	2.46E+00
PTPN11	1.00E+00	3.13E+00
DLGAP3	1.00E+00	2.63E+00
HIRA	1.00E+00	3.71E+00
SETD1A	1.00E+00	1.83E+00
NAA35	1.00E+00	3.66E+00
ELMSAN1	1.00E+00	1.79E+00
CACTIN	1.00E+00	3.20E+00
ARHGEF6	1.00E+00	1.35E+00
FAM120C	1.00E+00	3.63E+00
RBM6	1.00E+00	2.17E+00
KIF1A	1.00E+00	5.16E+00
MECOM	1.00E+00	1.62E+00
MBD5	1.00E+00	8.56E-01
MEIS1	1.00E+00	3.30E+00
INTS6	1.00E+00	3.83E+00
ZFHX3	1.00E+00	-1.23E+00
JPH4	9.99E-01	2.56E+00
SMARCA1	1.00E+00	2.44E+00
HEATR1	1.00E+00	8.71E-02
ADGRB3	1.00E+00	1.83E+00
SLC12A5	1.00E+00	4.70E+00
TAF3	1.00E+00	2.21E+00
SHOC2	9.99E-01	2.97E+00
PSMC1	9.99E-01	3.95E+00
RBM22	9.99E-01	3.16E+00
NFKB1	1.00E+00	3.19E+00
AFF4	1.00E+00	2.47E+00
RB1CC1	1.00E+00	8.12E-01
SAFB	1.00E+00	2.14E+00
TRAPPC8	1.00E+00	1.21E+00
ARID4A	1.00E+00	1.45E+00
TRIO	1.00E+00	5.32E+00
YTHDF2	9.99E-01	2.27E+00
PPFIA2	1.00E+00	3.26E+00
KDM6B	1.00E+00	1.32E+00
SPTB	1.00E+00	7.51E-01
SOS1	1.00E+00	3.05E+00
ADGRB1	1.00E+00	4.48E+00
AMBRA1	1.00E+00	2.95E+00
UBE2O	1.00E+00	3.44E+00
ZNF292	1.00E+00	1.41E+00
BCOR	1.00E+00	1.88E+00
HDAC5	1.00E+00	3.32E+00
PODXL2	9.99E-01	9.07E-01
AFTPH	1.00E+00	6.92E-01
RANBP3	1.00E+00	1.85E+00
SPAG9	1.00E+00	3.13E+00
FNBP4	1.00E+00	1.39E+00
AGPAT3	9.99E-01	2.54E+00
RANBP2	1.00E+00	-7.76E-01
TKTL1	9.99E-01	-8.45E-01
ZBTB44	9.99E-01	1.87E+00
NSD3	1.00E+00	3.73E+00
CNOT4	1.00E+00	3.49E+00
JAG2	1.00E+00	2.20E+00
TFCP2L1	1.00E+00	1.63E+00
MAOA	9.99E-01	2.38E+00
SAMD4B	1.00E+00	3.04E+00
CSNK1E	9.99E-01	3.18E+00
DNMT1	1.00E+00	4.99E+00
PHEX	1.00E+00	1.71E+00
ATXN2L	1.00E+00	2.25E+00
XPO4	1.00E+00	4.02E+00
ARFGEF1	1.00E+00	5.37E+00
COPS5	9.99E-01	3.44E+00
SPOP	9.99E-01	4.14E+00
CSDE1	1.00E+00	3.45E+00
API5	1.00E+00	2.92E+00
CUL1	1.00E+00	5.70E+00
DDX46	1.00E+00	5.48E+00
ZFHX4	1.00E+00	1.01E+00
GNB1	9.99E-01	3.83E+00
HOMER1	9.99E-01	2.43E+00
ZFPM2	1.00E+00	2.13E-01
AEBP2	9.99E-01	2.21E+00
NUP85	1.00E+00	7.55E-01
CBLL1	9.99E-01	1.34E+00
RNF38	1.00E+00	1.56E+00
BAZ2A	1.00E+00	2.08E+00
JAG1	1.00E+00	3.25E+00
ASXL2	1.00E+00	1.71E+00
SP3	1.00E+00	1.63E+00
SRRM1	1.00E+00	1.46E+00
MAML1	1.00E+00	4.81E-01
CCNC	9.99E-01	2.25E+00
KIF23	1.00E+00	2.08E+00
EZH2	1.00E+00	4.68E+00
RFX4	1.00E+00	2.23E+00
XRCC5	1.00E+00	2.81E+00
USP24	1.00E+00	4.99E+00
CHD3	1.00E+00	6.15E+00
HNRNPA1	9.99E-01	2.82E+00
PPP1CB	9.99E-01	4.33E+00
FLT4	1.00E+00	2.83E+00
UNC79	1.00E+00	4.16E+00
ZNF217	1.00E+00	1.03E+00
EFHC2	9.99E-01	6.22E-01
WBP11	1.00E+00	2.98E+00
ITPKB	1.00E+00	6.36E-01
CTCF	1.00E+00	4.44E+00
ATP2B2	1.00E+00	4.55E+00
MAOB	9.99E-01	1.75E+00
KLHDC3	9.99E-01	3.45E+00
PRMT1	9.99E-01	3.81E+00
TGFB2	9.99E-01	2.13E+00
DIP2C	1.00E+00	4.67E+00
NFIX	9.99E-01	4.08E+00
FBXL17	9.99E-01	2.17E+00
WAS	9.99E-01	1.98E+00
GCM1	9.99E-01	1.44E+00
YBX2	9.99E-01	1.60E+00
TLE4	1.00E+00	3.60E+00
SLC6A1	1.00E+00	4.18E+00
EBF3	1.00E+00	3.61E+00
MAPK8IP3	1.00E+00	2.88E+00
AHSA1	9.99E-01	1.69E+00
PAN3	1.00E+00	2.52E+00
PKN2	1.00E+00	2.97E+00
ABCD1	9.99E-01	1.87E+00
SETD1B	1.00E+00	4.67E+00
CLCN4	9.99E-01	4.52E+00
ARHGEF9	9.99E-01	3.04E+00
B4GALT5	9.99E-01	2.37E+00
MSL1	9.99E-01	1.77E+00
SERPINC1	9.99E-01	1.36E+00
KALRN	1.00E+00	4.36E+00
CASZ1	1.00E+00	2.61E+00
MARCH6	1.00E+00	3.88E+00
SFPQ	1.00E+00	2.98E+00
BCORL1	1.00E+00	2.06E+00
CMIP	1.00E+00	3.26E+00
PPRC1	1.00E+00	2.44E-01
INTS6L	1.00E+00	1.71E+00
EMSY	1.00E+00	1.99E+00
EFEMP1	1.00E+00	1.82E+00
MAPKAP1	1.00E+00	2.83E+00
ATP1B1	9.99E-01	2.00E+00
ELFN1	9.99E-01	2.44E+00
SMCHD1	1.00E+00	3.63E+00
FBXW2	9.99E-01	2.44E+00
GGA1	1.00E+00	1.22E+00
CAMSAP3	1.00E+00	3.35E+00
AHR	1.00E+00	7.35E-01
DMD	1.00E+00	-2.43E+00
PPP1R10	1.00E+00	2.95E+00
HDLBP	1.00E+00	4.10E+00
ZNF609	1.00E+00	1.83E+00
ARHGAP42	1.00E+00	2.96E+00
OCRL	1.00E+00	2.96E+00
RICTOR	1.00E+00	3.05E+00
ZNF541	1.00E+00	2.64E+00
FASN	1.00E+00	2.36E+00
ATAD2B	1.00E+00	3.96E+00
PCIF1	1.00E+00	2.41E+00
DENND5B	1.00E+00	3.39E+00
HOOK3	1.00E+00	2.36E+00
ARHGEF2	1.00E+00	3.61E+00
XPR1	1.00E+00	3.23E+00
INTS10	1.00E+00	1.44E+00
USP3	1.00E+00	2.11E+00
MARK2	1.00E+00	4.45E+00
IKZF1	9.99E-01	3.38E+00
CDH11	1.00E+00	1.59E+00
KDM4A	1.00E+00	3.68E+00
RREB1	1.00E+00	-4.27E-01
CHD4	1.00E+00	6.34E+00
HIPK2	1.00E+00	2.86E+00
NR2E1	9.99E-01	2.60E+00
KPNA4	1.00E+00	3.23E+00
CHD5	1.00E+00	5.32E+00
PLXND1	1.00E+00	3.35E+00
RXRA	9.99E-01	2.97E+00
LRRC7	1.00E+00	3.60E+00
ZFC3H1	1.00E+00	2.14E+00
UBE4B	1.00E+00	3.73E+00
DOCK3	1.00E+00	3.94E+00
DMXL2	1.00E+00	2.37E+00
PELP1	1.00E+00	1.12E+00
TXLNG	9.98E-01	8.63E-02
UNC13A	1.00E+00	5.63E+00
MAT2A	9.98E-01	3.63E+00
HECTD1	1.00E+00	5.01E+00
KCNQ2	1.00E+00	4.04E+00
TANC2	1.00E+00	2.34E+00
PPP3CA	1.00E+00	3.63E+00
LARP4B	1.00E+00	1.94E+00
EPC2	1.00E+00	2.70E+00
ROBO2	1.00E+00	1.65E+00
MAST1	1.00E+00	5.77E+00
POLR2A	1.00E+00	7.13E+00
GRIPAP1	1.00E+00	2.62E+00
PSMD11	1.00E+00	2.61E+00
TNRC6A	1.00E+00	1.13E+00
ESPL1	1.00E+00	4.31E+00
CUL5	1.00E+00	4.59E+00
FBRS	1.00E+00	7.64E-01
SAP130	1.00E+00	3.25E+00
ALG13	1.00E+00	1.15E+00
SMAD5	9.98E-01	3.00E+00
RACK1	9.98E-01	3.58E+00
SLIT2	1.00E+00	2.10E+00
PPM1A	9.98E-01	2.58E+00
PPP4R2	9.98E-01	8.93E-04
GSPT1	1.00E+00	3.32E+00
PIP4K2B	9.98E-01	3.05E+00
ZFX	9.98E-01	3.15E+00
KANSL3	1.00E+00	2.47E+00
RORC	1.00E+00	2.29E+00
ZNF800	1.00E+00	9.91E-01
DPF2	1.00E+00	2.90E+00
APC	1.00E+00	1.68E-01
FKBP8	9.98E-01	2.33E+00
OPHN1	1.00E+00	2.59E+00
USP48	1.00E+00	4.37E+00
KDM6A	1.00E+00	2.95E+00
CAPZA2	9.98E-01	1.84E+00
NPM1	9.98E-01	1.95E+00
PSMD12	1.00E+00	1.87E+00
ZNF131	1.00E+00	2.67E+00
GPC3	9.98E-01	1.45E+00
GRAMD4	1.00E+00	2.56E+00
KIF2A	1.00E+00	4.04E+00
FGD5	1.00E+00	1.67E-01
CKAP5	1.00E+00	3.78E+00
UPF1	1.00E+00	5.63E+00
UTP14A	1.00E+00	1.49E+00
CHD1	1.00E+00	4.21E+00
ZBTB2	9.98E-01	2.64E+00
CPSF6	1.00E+00	3.94E+00
FAM120A	1.00E+00	3.35E+00
WDR43	1.00E+00	7.01E-01
CUX1	1.00E+00	3.75E+00
ZNF865	9.98E-01	3.91E+00
MAPK8IP1	1.00E+00	1.49E+00
CDK19	1.00E+00	3.56E+00
NFKB2	1.00E+00	3.94E+00
KDM5A	1.00E+00	2.25E+00
TEX10	1.00E+00	1.54E+00
ICE1	1.00E+00	7.29E-01
MDM2	1.00E+00	2.33E+00
CASKIN1	1.00E+00	1.79E+00
MYC	9.98E-01	1.22E+00
CLK2	1.00E+00	2.20E+00
PAX5	9.98E-01	2.45E+00
ZNF608	1.00E+00	1.06E+00
DSCAML1	1.00E+00	3.15E+00
CCNJ	9.98E-01	1.60E+00
CCNK	1.00E+00	3.31E+00
TLK1	1.00E+00	3.56E+00
LARP1	1.00E+00	3.07E+00
ARIH1	1.00E+00	4.59E+00
LRRC4	9.98E-01	1.96E+00
RBFOX3	9.98E-01	2.13E+00
